Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,3/1/2025 16:24,TRUE,Running,9.71,631,0:41:08,171,186,4.7,180,192,4:14,2:36,37,42,1.33,7,9.1,227,4:08,375,0,365,578,"7,400",No,03:50.7,10,0:41:01,0:41:08,11,32
Running,1/23/2025 17:18,TRUE,Hangzhou Running,15.01,921,0:59:16,171,186,5,184,228,3:57,2:57,46,47,1.37,6.6,9,218,3:57,391,0,387,560,"10,846",No,00:00.6,16,0:59:02,1:13:51,1,32
Running,1/21/2025 12:26,TRUE,Hangzhou Running,15,995,1:01:28,178,192,5,182,195,4:06,2:39,100,73,1.33,6.8,9,224,4:04,388,0,381,671,"11,124",No,03:36.0,15,1:01:17,1:11:01,31,66
Running,1/19/2025 9:53,TRUE,Running,10.02,703,0:46:13,163,180,3.9,179,191,4:37,2:42,54,30,1.21,7.4,8.9,238,4:27,345,0,336,528,"8,256",No,00:02.2,11,0:45:59,1:02:46,3,28
Running,12/16/2024 17:30,TRUE,Hangzhou Running,10.01,719,0:47:51,161,178,4.1,177,192,4:47,4:09,23,14,1.17,7.5,8.8,242,4:39,327,0,323,525,"8,494",No,00:02.1,11,0:47:33,1:03:13,0,23
Running,11/29/2024 19:07,TRUE,Hangzhou Running,10.01,668,0:45:12,156,167,3.5,176,188,4:31,4:00,5,26,1.25,7.3,9.2,238,4:31,341,0,339,406,"7,992",No,00:02.4,11,0:45:00,1:08:40,13,38
Running,11/24/2024 13:33,TRUE,Hangzhou Running,25,"1,720",1:51:10,165,176,5,181,203,4:27,3:32,27,26,1.23,7.2,8.8,234,4:27,345,0,344,466,"20,054",No,00:01.5,26,1:51:00,2:17:47,6,17
Running,11/22/2024 12:08,TRUE,Hangzhou Running,16.11,"1,078",1:09:24,161,183,4.2,178,226,4:19,3:02,43,28,1.32,7.1,9.3,231,4:13,370,0,368,513,"12,342",No,00:35.0,17,1:09:07,1:22:35,12,36
Running,11/20/2024 13:01,TRUE,Hangzhou Running,19.3,"1,240",1:28:30,148,167,3.7,180,191,4:35,2:40,48,46,1.22,7.3,8.8,236,4:31,344,0,341,558,"15,906",No,01:13.9,20,1:28:26,1:28:30,13,34
Running,11/19/2024 10:33,TRUE,Running,15.01,979,1:07:07,149,169,3.8,179,194,4:28,3:36,28,22,1.26,7.1,9,233,4:23,354,0,352,546,"12,038",No,00:02.2,16,1:06:46,1:18:48,24,48
Running,11/17/2024 12:54,TRUE,Hangzhou Running,25.01,"1,534",1:50:40,144,157,4.1,178,186,4:26,2:40,53,67,1.29,7.2,9.2,234,4:21,357,0,355,573,"19,660",No,00:01.6,26,1:50:26,2:01:08,2,32
Running,11/15/2024 11:36,TRUE,Hangzhou Running,15.01,931,1:06:16,144,163,3.5,176,187,4:25,2:59,27,20,1.3,7.2,9.4,236,4:22,358,0,355,519,"11,680",No,00:01.4,16,1:05:45,1:25:33,17,42
Running,11/14/2024 10:26,TRUE,Hangzhou Running,10,658,0:45:23,150,169,3.5,179,190,4:32,3:08,42,32,1.28,7.2,9.1,234,4:20,364,0,359,505,"8,092",No,00:00.7,11,0:45:21,0:45:23,8,30
Running,11/13/2024 11:24,TRUE,Hangzhou Running,15,946,1:04:07,154,170,4,177,190,4:16,3:23,40,21,1.32,7.1,9.4,233,4:15,369,0,366,561,"11,344",No,04:07.4,15,1:04:06,1:04:07,11,33
Running,11/11/2024 16:29,TRUE,Running,10.01,626,0:45:34,144,153,3.2,175,187,4:33,2:54,23,25,1.27,7.4,9.4,241,4:29,348,0,345,532,"7,968",No,00:03.0,11,0:45:31,0:45:34,18,36
Running,11/10/2024 13:38,TRUE,Hangzhou Running,15.01,968,1:08:01,145,166,3.7,177,192,4:32,3:24,36,19,1.25,7.3,9.1,237,4:28,347,0,345,461,"12,048",No,00:01.8,16,1:07:51,1:42:32,15,37
Running,11/8/2024 10:44,TRUE,Hangzhou Running,15.01,957,1:05:19,152,167,3.9,177,196,4:21,3:16,36,18,1.31,7.1,9.3,234,4:17,365,0,363,506,"11,574",No,00:01.8,16,1:05:08,1:23:43,16,41
Running,11/6/2024 13:25,TRUE,Running,20.01,"1,211",1:25:38,149,172,4,175,191,4:17,3:17,51,41,1.33,7.2,9.6,236,4:16,366,0,363,548,"14,982",No,00:01.3,21,1:25:33,1:41:46,17,35
Running,11/5/2024 10:30,TRUE,Running,0.28,16,01:22.7,133,152,0.4,160,177,4:52,4:07,12,--,1.24,7.6,9.2,242,--,317,0,284,381,236,No,01:22.7,1,01:22.7,01:22.7,12,26
Running,7/14/2024 10:01,TRUE,Hangzhou Running,10.01,666,0:45:15,165,179,3.9,171,176,4:31,3:40,40,38,1.29,7.6,9.9,247,4:30,353,0,349,475,"7,714",No,00:02.3,11,0:45:12,0:45:15,4,13
Running,7/13/2024 10:50,TRUE,Hangzhou Running,10.01,660,0:45:36,161,175,3.8,171,176,4:33,4:00,39,39,1.28,7.7,9.9,248,4:32,350,0,347,456,"7,774",No,00:02.1,11,0:45:30,0:45:36,2,14
